feature,importance_mean,importance_std
target__road_name,1.3265399263982673,0.019420325486832875
num__latitude,0.2542148378744112,0.005888070977310836
num__longitude,0.1728717791786926,0.004496521115035225
num__year,0.025390912344233196,0.0012532061383933714
num__hour,0.0223856410857714,0.0012891198388717158
num__is_peak_hour,0.005171968022895013,0.0006003056957152637
onehot__direction_of_travel_W,0.004880313031107142,0.00022014056957815378
onehot__direction_of_travel_E,0.004223343367963139,0.0005499933965951063
onehot__direction_of_travel_N,0.00343154452543355,0.00047878940278903593
onehot__direction_of_travel_S,0.0026164805035851836,0.00028691373897300683
onehot__road_type_Major,4.107886512272341e-05,1.275797242629683e-05
onehot__road_type_Minor,3.0559163642118746e-05,1.1008383104840247e-05
